PRDCT_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY,DAY_INTK_LOWLIMIT,DAY_INTK_HIGHLIMIT,INTK_UNIT,INTK_MEMO,SKLL_IX_IRDNT_RAWMTRL,CRET_DTM,LAST_UPDT_DTM
포스파티딜세린,"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 노화로 인해 저하된 인지력 개선·자외선에 의한 피부 손상으로부터 피부 건강 유지·피부보습에 도움을 줄 수 있음,300,300,mg,"(24.12.23.) 섭취시주의사항, 일일섭취량 현행화 / '24 신뢰성 확보",포스파티딜세린,20130102,20260723
테아닌,"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 카페인 함유음료(커피, 홍차, 녹차 등)와의 병용 섭취에 주의할 것
(3) 수술전후 환자는 전문가와 상담할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 스트레스로 인한 긴장완화에 도움을 줄 수 있음,200,250,mg,,L-테아닌,20130102,20260723
"엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)","(가) 신장질환이 있는 사람은 섭취 전 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 관절 및 연골건강에 도움을 줄 수 있음,1.5,2,g,(24.12.23.) 섭취시주의사항 현행화 / '24 신뢰성 확보,엠에스엠(MSM),20130102,20241223
구아검/구아검가수분해물,"(1) 수유부는 섭취를 피할 것
(2) 반드시 충분한 물과 함께 섭취할 것(액상제외)
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 혈중 콜레스테롤 개선·식후 혈당상승 억제·장내 유익균 증식·배변활동 원활에 도움을 줄 수 있음,5,11,g,건기공전 제2025-11호,구아검/구아검가수분해물 식이섬유,20080922,20260723
보리식이섬유,(1) 반드시 충분한 물과 함께 섭취할 것(액상제외),(1) 배변활동 원활에 도움을 줄 수 있음,20,20,g,(24.12.23.) 일일섭취량 현행화 / '24 신뢰성 확보,보리식이섬유,20080922,20241223
호로파종자식이섬유,(1) 반드시 충분한 물과 함께 섭취할 것 (액상제외),(1) 식후 혈당상승 억제에 도움을 줄 수 있음,12,50,g,,호로파종자식이섬유,20080922,20241223
키토산/키토올리고당,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함)
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 혈중 콜레스테롤 개선･체지방 감소에 도움을 줄 수 있음,1.2,4.5,g,"(가)혈중 콜레스테롤 개선에 도움을 줄 수 있음 : 키토산으로서 1.2~4.5 g      (나)체지방 감소에 도움을 줄 수 있음 : 키토산으로서 3.0~4.5 g, 키토올리고당으로서 3 g",키토산 또는 키토올리고당,20080922,20260723
포도종자추출물(제2008-42호),"① 위장장애가 발생할 수 있다.② 영유아, 임산부는 섭취를 삼가 해야 한다.③ 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적이다.",인체의 항산화능 증진에 도움을 줄 수 있습니다.(기타기능 II),0,200,mg,,포도종자추출물(기능성원료인정제2008-42호),20191226,20191226
커피만노올리고당분말(제2009-15호),"① 어린이, 임산부, 수유기 여성은 섭취에 주의하십시오.② 과량 섭취 시 복부팽만감을 느낄 수 있습니다.","장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음 (기타기능 II)",999.9,1000.1,mg,,커피만노올리고당분말(기능성원료인정제2009-15호),20191226,20191226
구아바잎추출물 등 복합물(BENDU381)(제2009-16호),,"과민반응에 의한 코 상태(코 가려움, 재채기, 콧물) 개선에 도움을 줄 수 있음(기타기능 II)",800,800,mg/일,,"Ellagic acid 함량(mg/g), EGCG 함량(mg/g), Gallic acid 함량(mg/g)",20191226,20210526
보이차 추출물(제2009-17호),"-카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
-임산부, 수유 여성, 어린이, 알레르기성 질환보유자, 질병치료 중인 환자는 섭취에 주의",혈중 콜레스테롤 개선에 도움을 줄 수 있습니다.(기타기능 II),1,1,g,,Gallic acid,20191226,20201029
